company,company_location,review_date,country_of_bean_origin,specific_bean_origin_or_bar_name,cocoa_percent,rating,counts_of_ingredients,cocoa_butter,vanilla,lecithin,salt,sugar,first_taste,second_taste
Aelan,Vanuatu,2019,Vanuatu,"Malekula Island, batch M10/19",70,2.5,2,have_not_cocoa_butter,have_not_vanila,have_not_lecithin,have_not_salt,have_sugar,unrefined,sweet
Aequare (Gianduja),Ecuador,2009,Ecuador,"Los Rios, Quevedo, Arriba",70,3,4,have_cocoa_butter,have_vanila,have_not_lecithin,have_not_salt,have_sugar,roasty,nutty
Aequare (Gianduja),Ecuador,2009,Ecuador,"Los Rios, Quevedo, Arriba",55,2.75,4,have_cocoa_butter,have_vanila,have_not_lecithin,have_not_salt,have_sugar,sandy,sweet
Ah Cacao,Mexico,2009,Mexico,Tabasco,70,3,3,have_cocoa_butter,have_not_vanila,have_not_lecithin,have_not_salt,have_sugar,gritty,spice
Akesson's (Pralus),Switzerland,2010,Madagascar,"Madagascar, Ambolikapiky P.",75,2.75,4,have_cocoa_butter,have_not_vanila,have_lecithin,have_not_salt,have_sugar,strong pepper,musty
Akesson's (Pralus),Switzerland,2010,Brazil,"Monte Alegre, D. Badero",75,2.75,4,have_cocoa_butter,have_not_vanila,have_lecithin,have_not_salt,have_sugar,fatty,intense
Akesson's (Pralus),Switzerland,2011,Indonesia,"Bali (west), Sukrama Family, Melaya area",75,3.75,4,have_cocoa_butter,have_not_vanila,have_lecithin,have_not_salt,have_sugar,hay,nut
Alain Ducasse,France,2013,Venezuela,Chuao,75,2.5,5,have_cocoa_butter,have_vanila,have_lecithin,have_not_salt,have_sugar,sandy,dirt
Alain Ducasse,France,2013,Peru,"Piura, Perou",75,2.5,5,have_cocoa_butter,have_vanila,have_lecithin,have_not_salt,have_sugar,cardboard,dirt
Alain Ducasse,France,2014,Madagascar,Madagascar,75,3,5,have_cocoa_butter,have_vanila,have_not_lecithin,have_salt,have_sugar,citrus,fatty
Alain Ducasse,France,2014,Trinidad,Trinite,65,2.75,6,have_cocoa_butter,have_vanila,have_lecithin,have_salt,have_sugar,roasty,sweet
Alain Ducasse,France,2014,Vietnam,Vietnam,75,2.75,5,have_cocoa_butter,have_vanila,have_not_lecithin,have_salt,have_sugar,nutty,roasty
Alain Ducasse,France,2017,Mexico,"Porcelana, Mexique",75,3.5,6,have_cocoa_butter,have_vanila,have_lecithin,have_salt,have_sugar,strawberry,cream
Alexandre,Netherlands,2017,Ecuador,"Winak Coop, Napo",70,3.5,3,have_cocoa_butter,have_not_vanila,have_not_lecithin,have_not_salt,have_sugar,sandy,green
Alexandre,Netherlands,2017,Nicaragua,"La Dalia, Matagalpa",70,3.5,3,have_cocoa_butter,have_not_vanila,have_not_lecithin,have_not_salt,have_sugar,sandy,sweet
Alexandre,Netherlands,2017,Tanzania,"Makwale Village, Kyela",70,3.5,3,have_cocoa_butter,have_not_vanila,have_not_lecithin,have_not_salt,have_sugar,sandy,melon
Alexandre,Netherlands,2017,Vietnam,Tien Giang,70,3.5,3,have_cocoa_butter,have_not_vanila,have_not_lecithin,have_not_salt,have_sugar,sandy,sweet
Altus aka Cao Artisan,U.S.A,2013,Bolivia,"Bolivia, batch 101",80,3.25,4,have_cocoa_butter,have_not_vanila,have_lecithin,have_not_salt,have_sugar,gritty,berry
Altus aka Cao Artisan,U.S.A,2013,Peru,"Peru, batch 148",60,3.25,4,have_cocoa_butter,have_not_vanila,have_lecithin,have_not_salt,have_sugar,gritty,too sweet
Altus aka Cao Artisan,U.S.A,2013,Dominican republic,"Conacado, batch 130",60,3,4,have_cocoa_butter,have_not_vanila,have_lecithin,have_not_salt,have_sugar,sandy,sweet
Altus aka Cao Artisan,U.S.A,2013,Bolivia,"Bolivia, batch 154",60,3,4,have_cocoa_butter,have_not_vanila,have_lecithin,have_not_salt,have_sugar,grit,sweet
Altus aka Cao Artisan,U.S.A,2013,Venezuela,Sur del Lago,60,2.5,4,have_cocoa_butter,have_not_vanila,have_lecithin,have_not_salt,have_sugar,sweet,moldy
Altus aka Cao Artisan,U.S.A,2016,Peru,Acopagro,60,3,3,have_cocoa_butter,have_not_vanila,have_not_lecithin,have_not_salt,have_sugar,dry,sweet
Altus aka Cao Artisan,U.S.A,2016,Nicaragua,Momotombo,60,2.75,3,have_cocoa_butter,have_not_vanila,have_not_lecithin,have_not_salt,have_sugar,powdery,sweet
Altus aka Cao Artisan,U.S.A,2016,Ecuador,Gruppo Salinas,60,2.75,3,have_cocoa_butter,have_not_vanila,have_not_lecithin,have_not_salt,have_sugar,sandy,nutty
Altus aka Cao Artisan,U.S.A,2016,Bolivia,CIAAB Coop,60,2.5,3,have_cocoa_butter,have_not_vanila,have_not_lecithin,have_not_salt,have_sugar,sandy,sweet
Altus aka Cao Artisan,U.S.A,2016,Peru,Villa Andina,60,2.5,3,have_cocoa_butter,have_not_vanila,have_not_lecithin,have_not_salt,have_sugar,sandy,sweet
Altus aka Cao Artisan,U.S.A,2018,Dominican republic,Oko Caribe,70,3,3,have_cocoa_butter,have_not_vanila,have_not_lecithin,have_not_salt,have_sugar,sweet,coarse
Amano,U.S.A,2007,Venezuela,Ocumare,70,3.75,4,have_cocoa_butter,have_vanila,have_not_lecithin,have_not_salt,have_sugar,spicy,strawberry
Amano,U.S.A,2007,Madagascar,Madagascar,70,3.5,4,have_cocoa_butter,have_vanila,have_not_lecithin,have_not_salt,have_sugar,spice,nut
Amano,U.S.A,2007,Venezuela,Cuyagua,70,3,4,have_cocoa_butter,have_vanila,have_not_lecithin,have_not_salt,have_sugar,waxy,nutty
Amano,U.S.A,2008,Indonesia,"Bali, Jembrana",70,2.75,4,have_cocoa_butter,have_vanila,have_not_lecithin,have_not_salt,have_sugar,sticky,nutty
Amano,U.S.A,2009,Venezuela,Montanya,70,3,4,have_cocoa_butter,have_vanila,have_not_lecithin,have_not_salt,have_sugar,hot spice,roasty
Amano,U.S.A,2010,Ecuador,Guayas,70,4,4,have_cocoa_butter,have_vanila,have_not_lecithin,have_not_salt,have_sugar,strong spice,intense pepper
Amano,U.S.A,2010,Dominican republic,Dos Rios,70,3.75,4,have_cocoa_butter,have_vanila,have_not_lecithin,have_not_salt,have_sugar,orange,cinamon
Amano,U.S.A,2010,Venezuela,Chuao,70,3,4,have_cocoa_butter,have_vanila,have_not_lecithin,have_not_salt,have_sugar,woody,red berry
Amano,U.S.A,2011,Papua new guinea,Morobe,70,4,4,have_cocoa_butter,have_vanila,have_not_lecithin,have_not_salt,have_sugar,tart,lemon
Amatller (Simon Coll),Spain,2009,Ghana,Ghana,70,3,2,have_not_cocoa_butter,have_not_vanila,have_not_lecithin,have_not_salt,have_sugar,dry,chalky
Amatller (Simon Coll),Spain,2009,Ghana,Ghana,85,3,2,have_not_cocoa_butter,have_not_vanila,have_not_lecithin,have_not_salt,have_sugar,roasty,oddly sweet
Amatller (Simon Coll),Spain,2009,Ecuador,Ecuador,70,2.75,2,have_not_cocoa_butter,have_not_vanila,have_not_lecithin,have_not_salt,have_sugar,waxy mouthfeel,spicy
Amatller (Simon Coll),Spain,2009,Ecuador,Ecuador,85,2.75,2,have_not_cocoa_butter,have_not_vanila,have_not_lecithin,have_not_salt,have_sugar,fatty,mushroom
Amazona,Peru,2013,Peru,"Bellavista Gran Pajeten, San Martin",73,3.5,3,have_cocoa_butter,have_not_vanila,have_not_lecithin,have_not_salt,have_sugar,oily,vegetal
Amazona,Peru,2013,Peru,"LamasdelChanka, San Martin, Oro Verde coop",72,3.25,3,have_cocoa_butter,have_not_vanila,have_not_lecithin,have_not_salt,have_sugar,oily,vanilla
Ambrosia,Canada,2015,Peru,Peru,68,3.5,2,have_not_cocoa_butter,have_not_vanila,have_not_lecithin,have_not_salt,have_sugar,rich,sour
Ambrosia,Canada,2015,Madagascar,Madagascar,66,3.25,2,have_not_cocoa_butter,have_not_vanila,have_not_lecithin,have_not_salt,have_sugar,fruity,sour
Ambrosia,Canada,2015,Dominican republic,Dominican Republic,75,3.25,2,have_not_cocoa_butter,have_not_vanila,have_not_lecithin,have_not_salt,have_sugar,high roast,high astringnet
Ambrosia,Canada,2015,Papua new guinea,Papua New Guinea,63,3.25,2,have_not_cocoa_butter,have_not_vanila,have_not_lecithin,have_not_salt,have_sugar,smokey,savory
Ambrosia,Canada,2015,Venezuela,Venezuela,70,3.25,2,have_not_cocoa_butter,have_not_vanila,have_not_lecithin,have_not_salt,have_sugar,sandy,roasty
Ambrosia,Canada,2015,Belize,Belize,64,3,4,have_cocoa_butter,have_not_vanila,have_lecithin,have_not_salt,have_sugar,roasty,brownie
Amedei,Italy,2006,Blend,Toscano Black,66,3.75,4,have_cocoa_butter,have_vanila,have_not_lecithin,have_not_salt,have_sugar,red wine,rich cocoa
Amedei,Italy,2007,Venezuela,Venezuela,70,3.75,4,have_cocoa_butter,have_vanila,have_not_lecithin,have_not_salt,have_sugar,creamy,fruit
Amedei,Italy,2007,Grenada,Grenada,70,3.5,4,have_cocoa_butter,have_vanila,have_not_lecithin,have_not_salt,have_sugar,fruity with coffee notes,vanilla
Amedei,Italy,2007,Trinidad,Trinidad,70,3.5,4,have_cocoa_butter,have_vanila,have_not_lecithin,have_not_salt,have_sugar,coffee,fruit
Amedei,Italy,2007,Blend,Toscano Black,63,3.5,4,have_cocoa_butter,have_vanila,have_not_lecithin,have_not_salt,have_sugar,fatty,dairy
Amedei,Italy,2007,Ecuador,Ecuador,70,3,4,have_cocoa_butter,have_vanila,have_not_lecithin,have_not_salt,have_sugar,creamy,earthy
Amedei,Italy,2007,Jamaica,Jamaica,70,3,4,have_cocoa_butter,have_vanila,have_not_lecithin,have_not_salt,have_sugar,sandy,woody
Amedei,Italy,2012,Peru,"Piura, Blanco de Criollo",70,3.75,4,have_cocoa_butter,have_vanila,have_not_lecithin,have_not_salt,have_sugar,creamy,raspberry
Amedei,Italy,2018,Blend,Nine,75,3.5,4,have_cocoa_butter,have_vanila,have_not_lecithin,have_not_salt,have_sugar,sweet,delicate
Amedei,Italy,2018,Madagascar,Madagascar,70,3,4,have_cocoa_butter,have_vanila,have_not_lecithin,have_not_salt,have_sugar,vanilla,mint
Amedei,Italy,2018,Venezuela,Chuao,70,3,4,have_cocoa_butter,have_vanila,have_not_lecithin,have_not_salt,have_sugar,vanilla,nuts
Amedei,Italy,2018,Venezuela,Porcelana,70,3,4,have_cocoa_butter,have_vanila,have_not_lecithin,have_not_salt,have_sugar,nutty,mild roasty
Amedei,Italy,2019,Blend,Toscano Black,70,2.75,3,have_cocoa_butter,have_not_vanila,have_not_lecithin,have_not_salt,have_sugar,nut,fatty
AMMA,Brazil,2010,Brazil,"Monte Alegre, 3 diff. plantations",60,4,4,have_cocoa_butter,have_not_vanila,have_lecithin,have_not_salt,have_sugar,creamy,sweet
AMMA,Brazil,2010,Brazil,"Monte Alegre, 3 diff. plantations",50,3.75,4,have_cocoa_butter,have_not_vanila,have_lecithin,have_not_salt,have_sugar,very sweet,bright red
AMMA,Brazil,2010,Brazil,"Monte Alegre, 3 diff. plantations",75,3.75,4,have_cocoa_butter,have_not_vanila,have_lecithin,have_not_salt,have_sugar,roasty,fatty
AMMA,Brazil,2010,Brazil,"Monte Alegre, 3 diff. plantations",85,2.75,4,have_cocoa_butter,have_not_vanila,have_lecithin,have_not_salt,have_sugar,creamy,red berry
AMMA,Brazil,2013,Brazil,Catongo,75,3.25,4,have_cocoa_butter,have_not_vanila,have_lecithin,have_not_salt,have_sugar,grainy,sweet
Anahata,U.S.A,2014,Dominican republic,Elvesia,75,3,2,have_not_cocoa_butter,have_not_vanila,have_not_lecithin,have_not_salt,have_sugar,chalky,mild fruit
Animas,U.S.A,2016,Bolivia,Alto Beni,75,3.5,2,have_not_cocoa_butter,have_not_vanila,have_not_lecithin,have_not_salt,have_sugar,light roast,caramel
Ara,France,2014,Madagascar,Madagascar,75,3,3,have_cocoa_butter,have_not_vanila,have_not_lecithin,have_not_salt,have_sugar,sandy,fruity
Ara,France,2014,Venezuela,Trincheras,75,3,3,have_cocoa_butter,have_not_vanila,have_not_lecithin,have_not_salt,have_sugar,nutty,mild spice
Ara,France,2014,Ecuador,Equateur,75,2.75,3,have_cocoa_butter,have_not_vanila,have_not_lecithin,have_not_salt,have_sugar,bitter,floral
Ara,France,2014,Mexico,Chiapas,72,2.5,3,have_cocoa_butter,have_not_vanila,have_not_lecithin,have_not_salt,have_sugar,earthy,sour milk
Arete,U.S.A,2015,Nicaragua,Chuno,70,4,2,have_not_cocoa_butter,have_not_vanila,have_not_lecithin,have_not_salt,have_sugar,creamy,sticky
Arete,U.S.A,2015,Ecuador,"Puerto Quito, heirloom",70,3.75,2,have_not_cocoa_butter,have_not_vanila,have_not_lecithin,have_not_salt,have_sugar,spicy,cocoa
Arete,U.S.A,2015,Belize,Maya Mountain,70,3.75,2,have_not_cocoa_butter,have_not_vanila,have_not_lecithin,have_not_salt,have_sugar,floral,strawberry
Arete,U.S.A,2015,Brazil,Fazenda Camboa,70,3.5,2,have_not_cocoa_butter,have_not_vanila,have_not_lecithin,have_not_salt,have_sugar,creamy,rich
Arete,U.S.A,2015,Peru,Nacional,68,3.5,2,have_not_cocoa_butter,have_not_vanila,have_not_lecithin,have_not_salt,have_sugar,floral,nutty
Arete,U.S.A,2015,Dominican republic,Oko Caribe,70,3.5,2,have_not_cocoa_butter,have_not_vanila,have_not_lecithin,have_not_salt,have_sugar,spicy,brownie
Arete,U.S.A,2015,Ecuador,Camino Verde,75,3.5,3,have_cocoa_butter,have_not_vanila,have_not_lecithin,have_not_salt,have_sugar,intense,floral
Arete,U.S.A,2015,Guatemala,Guatemala,70,3.25,2,have_not_cocoa_butter,have_not_vanila,have_not_lecithin,have_not_salt,have_sugar,strawberry,butterscotch
Arete,U.S.A,2015,Brazil,Fazenda Camboa,75,2.75,2,have_not_cocoa_butter,have_not_vanila,have_not_lecithin,have_not_salt,have_sugar,floral,chemical off
Arete,U.S.A,2016,Costa rica,"Coto Brus, Terciopelo",70,4,2,have_not_cocoa_butter,have_not_vanila,have_not_lecithin,have_not_salt,have_sugar,balanced,cherry
Arete,U.S.A,2016,Peru,Phantom,70,4,2,have_not_cocoa_butter,have_not_vanila,have_not_lecithin,have_not_salt,have_sugar,creamy,complex
Arete,U.S.A,2016,Tanzania,Kokoa Kamili,70,3.75,2,have_not_cocoa_butter,have_not_vanila,have_not_lecithin,have_not_salt,have_sugar,appealing smoke,woody
Arete,U.S.A,2016,Nicaragua,Rugoso,70,3.75,3,have_cocoa_butter,have_not_vanila,have_not_lecithin,have_not_salt,have_sugar,muddy,rich cocoa
Arete,U.S.A,2016,Dominican republic,Elvesia,70,3.75,2,have_not_cocoa_butter,have_not_vanila,have_not_lecithin,have_not_salt,have_sugar,dark berry,chocolatey
Arete,U.S.A,2016,Trinidad,San Juan,70,3.5,2,have_not_cocoa_butter,have_not_vanila,have_not_lecithin,have_not_salt,have_sugar,delicate,simple
Arete,U.S.A,2016,Vietnam,Tien Giang,73,3.5,3,have_cocoa_butter,have_not_vanila,have_not_lecithin,have_not_salt,have_sugar,cashew,roasty
Arete,U.S.A,2016,Guatemala,Lachua,70,3.5,2,have_not_cocoa_butter,have_not_vanila,have_not_lecithin,have_not_salt,have_sugar,subtle,mysterious
Arete,U.S.A,2016,Honduras,"La Masica, FHIA",70,3.5,2,have_not_cocoa_butter,have_not_vanila,have_not_lecithin,have_not_salt,have_sugar,nutty,green
Arete,U.S.A,2016,Ecuador,Hacienda Victoria,70,3.25,3,have_cocoa_butter,have_not_vanila,have_not_lecithin,have_not_salt,have_sugar,sticky,floral
Arete,U.S.A,2016,Ecuador,Costa Esmeraldas,70,3.25,3,have_cocoa_butter,have_not_vanila,have_not_lecithin,have_not_salt,have_sugar,chewy,mild floral
Arete,U.S.A,2016,Fiji,Matasawalevu,70,3.25,2,have_not_cocoa_butter,have_not_vanila,have_not_lecithin,have_not_salt,have_sugar,smoke,hammy
Arete,U.S.A,2016,Vietnam,Lam Dong,73,3.25,2,have_not_cocoa_butter,have_not_vanila,have_not_lecithin,have_not_salt,have_sugar,earthy,nutty
Arete,U.S.A,2017,Bolivia,Beniano,70,4,2,have_not_cocoa_butter,have_not_vanila,have_not_lecithin,have_not_salt,have_sugar,creamy,bright fruit
Arete,U.S.A,2017,Haiti,Pisa,70,4,2,have_not_cocoa_butter,have_not_vanila,have_not_lecithin,have_not_salt,have_sugar,long lasting,cocoa
Arete,U.S.A,2017,India,Anamalai,70,3.5,2,have_not_cocoa_butter,have_not_vanila,have_not_lecithin,have_not_salt,have_sugar,slight roasty,basic cocoa
Arete,U.S.A,2017,Madagascar,Sambirano Valley,70,3.5,3,have_cocoa_butter,have_not_vanila,have_not_lecithin,have_not_salt,have_sugar,sour fruit,vanilla
Arete,U.S.A,2017,Vietnam,Ben Tre,73,3.5,3,have_cocoa_butter,have_not_vanila,have_not_lecithin,have_not_salt,have_sugar,rich cocoa,mild roasty
Arete,U.S.A,2017,Peru,Ucayali,70,3.5,3,have_cocoa_butter,have_not_vanila,have_not_lecithin,have_not_salt,have_sugar,dried fruit,fig
Arete,U.S.A,2018,Colombia,Tumaco,70,4,2,have_not_cocoa_butter,have_not_vanila,have_not_lecithin,have_not_salt,have_sugar,smooth,nutty
Arete,U.S.A,2018,Trinidad,Ramnath E.,70,3,2,have_not_cocoa_butter,have_not_vanila,have_not_lecithin,have_not_salt,have_sugar,nuts,dried fruit
Arete,U.S.A,2019,India,Jangareddygudem,70,3.25,3,have_cocoa_butter,have_not_vanila,have_not_lecithin,have_not_salt,have_sugar,herbs,mushroom
Arete,U.S.A,2019,India,Idukki,70,3,3,have_cocoa_butter,have_not_vanila,have_not_lecithin,have_not_salt,have_sugar,burn butterscotch,rubbery
Argencove,Nicaragua,2018,Nicaragua,Mombacho,70,3.5,2,have_not_cocoa_butter,have_not_vanila,have_not_lecithin,have_not_salt,have_sugar,smooth,vegetal
Argencove,Nicaragua,2018,Nicaragua,Cocibolca,70,3.5,2,have_not_cocoa_butter,have_not_vanila,have_not_lecithin,have_not_salt,have_sugar,roasty,rich cocoa
Argencove,Nicaragua,2018,Nicaragua,Masaya,70,3.25,2,have_not_cocoa_butter,have_not_vanila,have_not_lecithin,have_not_salt,have_sugar,melon,late hammy
Argencove,Nicaragua,2018,Nicaragua,Apoyo,70,3,2,have_not_cocoa_butter,have_not_vanila,have_not_lecithin,have_not_salt,have_sugar,cocoa,earthy
Artisan du Chocolat,U.k.,2008,Congo,Congo,72,3.75,3,have_cocoa_butter,have_not_vanila,have_not_lecithin,have_not_salt,have_sugar,spicy,minty
Artisan du Chocolat,U.k.,2009,Dominican republic,Dominican Republic,72,3.25,3,have_cocoa_butter,have_not_vanila,have_not_lecithin,have_not_salt,have_sugar,spice,cocoa
Artisan du Chocolat,U.k.,2009,Madagascar,Madagascar,80,3,3,have_cocoa_butter,have_not_vanila,have_not_lecithin,have_not_salt,have_sugar,sl. bitter,cherry
Artisan du Chocolat,U.k.,2009,Peru,Peru,75,3,3,have_cocoa_butter,have_not_vanila,have_not_lecithin,have_not_salt,have_sugar,spicey,mild metallic
Artisan du Chocolat,U.k.,2009,Indonesia,Java,72,2.75,3,have_cocoa_butter,have_not_vanila,have_not_lecithin,have_not_salt,have_sugar,gritty,very smokey
Artisan du Chocolat,U.k.,2009,Venezuela,"Ocumare, Venezuela",75,2.5,3,have_cocoa_butter,have_not_vanila,have_not_lecithin,have_not_salt,have_sugar,oily,nutty
Artisan du Chocolat,U.k.,2009,Brazil,Brazil Rio Doce,72,1.75,3,have_cocoa_butter,have_not_vanila,have_not_lecithin,have_not_salt,have_sugar,cocoa,dominate off note
Artisan du Chocolat,U.k.,2010,Jamaica,Jamaica,72,3.75,3,have_cocoa_butter,have_not_vanila,have_not_lecithin,have_not_salt,have_sugar,grassy,black licorice
Artisan du Chocolat,U.k.,2010,Indonesia,Bali,72,3.5,3,have_cocoa_butter,have_not_vanila,have_not_lecithin,have_not_salt,have_sugar,black pepper and banana,vanilla
Artisan du Chocolat,U.k.,2010,Costa rica,Costa Rica,72,3.25,3,have_cocoa_butter,have_not_vanila,have_not_lecithin,have_not_salt,have_sugar,chewy,grassy
Artisan du Chocolat,U.k.,2010,Vietnam,Ba Ria Vung Tau Province,72,3.25,3,have_cocoa_butter,have_not_vanila,have_not_lecithin,have_not_salt,have_sugar,unrefined,distinct spicey
Artisan du Chocolat,U.k.,2011,Haiti,Haiti,72,4,3,have_cocoa_butter,have_not_vanila,have_not_lecithin,have_not_salt,have_sugar,nuts,butterscotch
Artisan du Chocolat,U.k.,2011,Panama,Panama,72,2.75,3,have_cocoa_butter,have_not_vanila,have_not_lecithin,have_not_salt,have_sugar,blackpepper,chemical
Artisan du Chocolat,U.k.,2012,Colombia,"Colombia, Casa Luker",72,3.75,3,have_cocoa_butter,have_not_vanila,have_not_lecithin,have_not_salt,have_sugar,marshmallow,roasty
Artisan du Chocolat,U.k.,2013,Trinidad,"Trinidad, Heritage, Limited ed.",72,3.25,3,have_cocoa_butter,have_not_vanila,have_not_lecithin,have_not_salt,have_sugar,gritty,nutty
Artisan du Chocolat (Casa Luker),U.k.,2013,Colombia,"Orinoqua Region, Arauca",72,2.75,4,have_cocoa_butter,have_not_vanila,have_lecithin,have_not_salt,have_sugar,creamy,marshmallow
Askinosie,U.S.A,2007,Ecuador,San Jose del Tambo,70,3,2,have_not_cocoa_butter,have_not_vanila,have_not_lecithin,have_not_salt,have_sugar,smooth,astringent
